"Id","Note","Name","Name_zh-Hant","Name_en","Name_ja","Description","Description_zh-Hant","Description_ja","Description_en"
"唯一标识","备注","名称","名稱","Name","名称","描述","描述","説明","Description"
"sunexp_scorched_world","","焦枯世界","焦枯世界","Scorched World","焦枯世界","战斗开始时，为场上铺上选择层数的{SunExp_sunexp_scorching_canopy}。","戰鬥開始時，為場上鋪上選擇層數的{SunExp_sunexp_scorching_canopy}。","戦闘開始時、選択した段階数の{SunExp_sunexp_scorching_canopy}を場に敷く。","At combat start, lay the selected number of {SunExp_sunexp_scorching_canopy} field stacks."
"sunexp_samsara_garden","","永恒花园","永恆花園","Eternal Garden","永遠の花園","战斗开始时，为场上铺上选择层数的{SunExp_sunexp_samsara_garden}。","戰鬥開始時，為場上鋪上選擇層數的{SunExp_sunexp_samsara_garden}。","戦闘開始時、選択した段階数の{SunExp_sunexp_samsara_garden}を場に敷く。","At combat start, lay the selected number of {SunExp_sunexp_samsara_garden} field stacks."
"sunexp_black_sun_calamity","","黑日之灾","黑日之災","Black Sun Calamity","黒日の災い","每场战斗中，玩家每行动5回合，随机焚毁自己现有卡组、手牌、弃牌堆中的1张卡。","每場戰鬥中，玩家每行動5回合，隨機焚毀自己現有卡組、手牌、棄牌堆中的1張卡。","戦闘ごとにプレイヤーが5回行動するたび、自分の山札・手札・捨て札からランダムな1枚を焼却する。","Each combat, every 5 player turns, randomly burn 1 card from your draw pile, hand, or discard pile."
"sunexp_white_radiance_court","","白曜圣庭","白曜聖庭","White Radiance Court","白曜聖庭","敌人每行动一次，获得1层{SunExp_sunexp_solar_radiance}。","敵人每行動一次，獲得1層{SunExp_sunexp_solar_radiance}。","敵が行動するたび、{SunExp_sunexp_solar_radiance}を1得る。","Whenever an enemy acts, it gains 1 {SunExp_sunexp_solar_radiance}."
"sunexp_sunset_expedition","","落日远征","落日遠征","Sunset Expedition","落日遠征","进入战斗时，扣除已经历战斗场数*1%的当前生命值，最高50%。至少保留1点生命。","進入戰鬥時，扣除已經歷戰鬥場數*1%的當前生命值，最高50%。至少保留1點生命。","戦闘開始時、経験した戦闘数*1%の現在HPを失う。最大50%。最低1HPは残る。","At combat start, lose current HP equal to battles experienced * 1%, up to 50%. Leaves at least 1 HP."
"sunexp_rebirth","","重生","重生","Rebirth","再生","进入战斗时，所有敌方获得50层{buff_rebirth}。","進入戰鬥時，所有敵方獲得50層{buff_rebirth}。","戦闘開始時、すべての敵が50層の{buff_rebirth}を得る。","At combat start, all enemies gain 50 {buff_rebirth}."
"sunexp_abyssal_shock","","深渊震荡","深淵震盪","Abyssal Shock","深淵震盪","每过6层，随机触发以下效果之一：给予卡组内随机2张牌【碎裂】；敌方全体生命值提高30%；随机销毁1件已装备遗物。","每過6層，隨機觸發以下效果之一：給予卡組內隨機2張牌【碎裂】；敵方全體生命值提高30%；隨機銷毀1件已裝備遺物。","6層ごとに、次のいずれかをランダムに発動する：デッキ内のランダムな2枚に【碎裂】を付与；敵全体の最大HPと現在HPを30%増加；装備中の遺物をランダムに1つ破壊。","Every 6 layers, randomly trigger one of the following: give Fragmented to 2 random cards in your deck; increase all enemies' Max HP and current HP by 30%; destroy 1 random equipped relic."
"sunexp_abyss_gaze","","深渊凝视","深淵凝視","Abyss Gaze","深淵の凝視","最高3层。玩家在同一回合内每获得1张卡牌，获得1层对应层级的深渊凝视。Ⅰ：10层将1张随机诅咒置入卡组；Ⅱ：10层和15层各将1张随机诅咒置入卡组，15层时下一张卡牌耗费+1；Ⅲ：20层时强制结束回合。回合结束时清空。","最高3層。玩家在同一回合內每獲得1張卡牌，獲得1層對應層級的深淵凝視。Ⅰ：10層將1張隨機詛咒置入卡組；Ⅱ：10層和15層各將1張隨機詛咒置入卡組，15層時下一張卡牌耗費+1；Ⅲ：20層時強制結束回合。回合結束時清空。","最大3段階。同じターン中にカードを1枚得るたび、対応段階の深淵の凝視を1得る。I: 10で呪い1枚をデッキに加える。II: 10/15で呪い1枚をデッキに加え、15で次のカードのコスト+1。III: 20でターンを強制終了。ターン終了時に消える。","Up to 3 stacks. Whenever the player gains a card in the same turn, gain 1 stack of the matching Abyss Gaze buff. I: at 10, add a random Curse to your deck. II: at 10 and 15, add a random Curse to your deck; at 15, the next card costs 1 more. III: at 20, forcibly end the turn. Cleared at turn end."
"sunexp_morning_star_dimmed","","晨星晦暗","晨星晦暗","Morning Star Dimmed","晨星晦暗","本场战斗中，魔能上限+1，所有卡牌的耗费魔能+1。","本場戰鬥中，魔能上限+1，所有卡牌的耗費魔能+1。","この戦闘中、最大魔能+1。すべてのカードの魔能コスト+1。","During this combat, Max Mana +1 and all cards cost 1 more Mana."
"sunexp_other_dimension_stagnant_water","","异次元-迟滞之水","異次元-遲滯之水","Other Dimension - Stagnant Water","異次元-遅滞の水","本场战斗中，技能的冷却回合数翻倍。","本場戰鬥中，技能的冷卻回合數翻倍。","この戦闘中、スキルのクールダウンターン数が2倍になる。","During this combat, skill cooldown durations are doubled."
