"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"唯一标识","FALSE","类型","备注","名称","Name","名稱","名称","描述","描述","Description","説明"
"spark","TRUE","攻击牌","","星火","Spark","星火","星火","造成{0}点伤害。给予目标2层{buff_burn}。获得1层{Terrias_terrias_solar_radiance}。","造成{0}點傷害。給予目標2層{buff_burn}。獲得1層{Terrias_terrias_solar_radiance}。","Deal {0} damage. Apply 2 stacks of {buff_burn} to the target. Gain 1 stack of {Terrias_terrias_solar_radiance}.","{0}ダメージを与える。対象に{buff_burn}を2スタック付与する。{Terrias_terrias_solar_radiance}を1スタック得る。"
"scorching_canopy_card","TRUE","技能牌","","灼热天幕","Scorching Canopy","灼熱天幕","灼熱天幕","铺上1层{Terrias_terrias_scorching_canopy}场地，全体获得2层{buff_burn}。","鋪上1層{Terrias_terrias_scorching_canopy}場地，全體獲得2層{buff_burn}。","Lay down 1 stack of the {Terrias_terrias_scorching_canopy} field. All combatants gain 2 stacks of {buff_burn}.","{Terrias_terrias_scorching_canopy}フィールドを1スタック敷く。全員が{buff_burn}を2スタック得る。"
"radiant_flame_slash","TRUE","攻击牌","","耀焰斩","Radiant Flame Slash","耀焰斬","耀焔斬","造成{0}（{1}+{2}*{Terrias_terrias_solar_coefficient}）点伤害。","造成{0}（{1}+{2}*{Terrias_terrias_solar_coefficient}）點傷害。","Deal {0} ({1}+{2}*{Terrias_terrias_solar_coefficient}) damage.","{0}（{1}+{2}*{Terrias_terrias_solar_coefficient}）ダメージを与える。"
"ember_cloak_card","TRUE","技能牌","","烬衣","Ember Cloak","燼衣","燼衣","获得等同自身{buff_burn}和{Terrias_terrias_body_burn}总层数一半的护盾，然后获得{Terrias_terrias_ember_cloak}。","獲得等同自身{buff_burn}和{Terrias_terrias_body_burn}總層數一半的護盾，然後獲得{Terrias_terrias_ember_cloak}。","Gain Block equal to half your total {buff_burn} and {Terrias_terrias_body_burn} stacks, then gain {Terrias_terrias_ember_cloak}.","自身の{buff_burn}と{Terrias_terrias_body_burn}の合計スタックの半分に等しいシールドを得て、その後{Terrias_terrias_ember_cloak}を得る。"
"draw_flame","TRUE","攻击牌","","引炎","Draw Flame","引炎","引炎","吸收任意目标的所有{buff_burn}，转化为等量的{Terrias_terrias_gathered_flame}。","吸收任意目標的所有{buff_burn}，轉化為等量的{Terrias_terrias_gathered_flame}。","Absorb all {buff_burn} from any target and convert it into an equal amount of {Terrias_terrias_gathered_flame}.","任意の対象の{buff_burn}をすべて吸収し、同量の{Terrias_terrias_gathered_flame}に変換する。"
"solar_prayer","TRUE","技能牌","","太阳圣祷","Solar Prayer","太陽聖禱","太陽聖祷","获得2层{Terrias_terrias_solar_radiance}。将自身的{buff_burn}全部转移给随机一名友方单位。","獲得2層{Terrias_terrias_solar_radiance}。將自身的{buff_burn}全部轉移給隨機一名友方單位。","Gain 2 stacks of {Terrias_terrias_solar_radiance}. Transfer all your {buff_burn} to a random friendly unit.","{Terrias_terrias_solar_radiance}を2スタック得る。自身の{buff_burn}をすべてランダムな味方1体に移す。"
"burning_star_hex","TRUE","攻击牌","","燃星之咒","Burning Star Hex","燃星之咒","燃星の呪","获得5层{Terrias_terrias_gathered_flame}，造成{0}（{1}+{2}*{Terrias_terrias_solar_coefficient}）点伤害。给予目标2层{buff_burn}。","獲得5層{Terrias_terrias_gathered_flame}，造成{0}（{1}+{2}*{Terrias_terrias_solar_coefficient}）點傷害。給予目標2層{buff_burn}。","Gain 5 stacks of {Terrias_terrias_gathered_flame}. Deal {0} ({1}+{2}*{Terrias_terrias_solar_coefficient}) damage. Apply 2 stacks of {buff_burn}.","{Terrias_terrias_gathered_flame}を5スタック得る。{0}（{1}+{2}*{Terrias_terrias_solar_coefficient}）ダメージを与える。対象に{buff_burn}を2スタック付与する。"
"crown_radiance","TRUE","技能牌","","冠冕威光","Crown Radiance","冠冕威光","冠冕威光","敌方全体获得6层{buff_burn}。若场上存在{Terrias_terrias_scorching_canopy}，全体目标的{buff_burn}立即生效{Terrias_terrias_solar_crown_tier}层数等量次数。","敵方全體獲得6層{buff_burn}。若場上存在{Terrias_terrias_scorching_canopy}，全體目標的{buff_burn}立即生效{Terrias_terrias_solar_crown_tier}層數等量次數。","All enemies gain 6 stacks of {buff_burn}. If {Terrias_terrias_scorching_canopy} is present, all combatants' {buff_burn} triggers a number of times equal to your {Terrias_terrias_solar_crown_tier}.","敵全体に{buff_burn}を6スタック付与する。{Terrias_terrias_scorching_canopy}があるなら、全員の{buff_burn}を{Terrias_terrias_solar_crown_tier}スタック数と同じ回数ただちに発動する。"
"*canopy_return","TRUE","技能牌","","天幕再临","Canopy Return","天幕再臨","天幕再臨","获得2层{Terrias_terrias_scorching_canopy}。全体获得3层{buff_burn}。敌方全体{buff_burn}立即生效一次。","獲得2層{Terrias_terrias_scorching_canopy}。全體獲得3層{buff_burn}。敵方全體{buff_burn}立即生效一次。","Gain 2 stacks of {Terrias_terrias_scorching_canopy}. All combatants gain 3 stacks of {buff_burn}. Trigger all enemies' {buff_burn} once immediately.","{Terrias_terrias_scorching_canopy}を2スタック得る。全員が{buff_burn}を3スタック得る。敵全体の{buff_burn}をただちに1回発動する。"
