Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一标识,备注,名称,名稱,Name,名称,描述,描述,Description,説明
enemycard_mirror_calibration,,校准光照,校準光照,Calibrate Light,Calibrate Light,全体获得{0}层{buff_burn}，首领获得10点护盾。,全體獲得{0}層{buff_burn}，首領獲得10點護盾。,All characters gain {0} {buff_burn} and the boss gains 10 Shield.,All characters gain {0} {buff_burn} and the boss gains 10 Shield.
enemycard_orbit_refraction,,环日折射,環日折射,Orbit Refraction,Orbit Refraction,造成{0}点伤害并施加10层{buff_burn}。若目标已有{buff_burn}，立即触发一次{buff_burn}。,造成{0}點傷害並施加10層{buff_burn}。若目標已有{buff_burn}，立即觸發一次{buff_burn}。,Deal {0} damage and apply 10 {buff_burn}. If the target already has {buff_burn}, trigger it once.,Deal {0} damage and apply 10 {buff_burn}. If the target already has {buff_burn}, trigger it once.
enemycard_last_day_morning_prayer,,晨祷校准,晨禱校準,Morning Prayer Calibration,Morning Prayer Calibration,全体获得{0}层{buff_burn}，首领获得10层{SunExp_sunexp_gathered_flame}。,全體獲得{0}層{buff_burn}，首領獲得10層{SunExp_sunexp_gathered_flame}。,All characters gain {0} {buff_burn} and the boss gains 10 {SunExp_sunexp_gathered_flame}.,All characters gain {0} {buff_burn} and the boss gains 10 {SunExp_sunexp_gathered_flame}.
enemycard_last_day_noon_burn,,正午断脊,正午斷脊,Noonday Spinebreaker,Noonday Spinebreaker,造成{0}点伤害。若目标{buff_burn}不少于8层，额外触发一次{buff_burn}并施加2层{buff_weak}与2层{buff_cripple}。,造成{0}點傷害。若目標{buff_burn}不少於8層，額外觸發一次{buff_burn}並施加2層{buff_weak}與2層{buff_cripple}。,"Deal {0} damage. If the target has at least 8 {buff_burn}, trigger {buff_burn} once and apply 2 {buff_weak} and 2 {buff_cripple}.","Deal {0} damage. If the target has at least 8 {buff_burn}, trigger {buff_burn} once and apply 2 {buff_weak} and 2 {buff_cripple}."
enemycard_saint_purification,,圣女净祷,聖女淨禱,Saintly Purification,Saintly Purification,造成{0}点伤害，目标获得3层{SunExp_sunexp_body_burn}，移除目标所有正面状态，首领获得1层{SunExp_sunexp_solar_radiance}。,造成{0}點傷害，目標獲得3層{SunExp_sunexp_body_burn}，移除目標所有正面狀態，首領獲得1層{SunExp_sunexp_solar_radiance}。,"Deal {0} damage, apply 3 {SunExp_sunexp_body_burn}, remove all positive statuses from the target, and the boss gains 1 {SunExp_sunexp_solar_radiance}.","Deal {0} damage, apply 3 {SunExp_sunexp_body_burn}, remove all positive statuses from the target, and the boss gains 1 {SunExp_sunexp_solar_radiance}."
enemycard_saint_return_to_court,,刻名归庭,刻名歸庭,Name Engraved Homeward,Name Engraved Homeward,造成{0}点伤害，将1个保存名字转为无名。若没有保存名字，首领获得6层{SunExp_sunexp_solar_radiance}。,造成{0}點傷害，將1個保存名字轉為無名。若沒有保存名字，首領獲得6層{SunExp_sunexp_solar_radiance}。,"Deal {0} damage and turn 1 preserved name into a Nameless Person. If no preserved name remains, the boss gains 6 {SunExp_sunexp_solar_radiance}.","Deal {0} damage and turn 1 preserved name into a Nameless Person. If no preserved name remains, the boss gains 6 {SunExp_sunexp_solar_radiance}."
enemycard_saint_white_edict,,白曜敕令,白曜敕令,White Radiance Edict,White Radiance Edict,造成{0}点伤害，目标获得3层{SunExp_sunexp_body_burn}，移除目标所有正面状态，首领获得1层{SunExp_sunexp_solar_radiance}。,造成{0}點傷害，目標獲得3層{SunExp_sunexp_body_burn}，移除目標所有正面狀態，首領獲得1層{SunExp_sunexp_solar_radiance}。,"Deal {0} damage, apply 3 {SunExp_sunexp_body_burn}, remove all positive statuses from the target, and the boss gains 1 {SunExp_sunexp_solar_radiance}.","Deal {0} damage, apply 3 {SunExp_sunexp_body_burn}, remove all positive statuses from the target, and the boss gains 1 {SunExp_sunexp_solar_radiance}."
enemycard_heart_change_strike,,逆心一击,逆心一擊,Turncoat Strike,Turncoat Strike,造成{0}点伤害。优先攻击生命值最低的未受控敌人。,造成{0}點傷害。優先攻擊生命值最低的未受控敵人。,Deal {0} damage. Prioritizes the lowest-HP uncontrolled enemy.,Deal {0} damage. Prioritizes the lowest-HP uncontrolled enemy.
enemycard_projection_staff_tap,,法杖敲头,法杖敲頭,Staff Bonk,Staff Bonk,造成{0}点伤害。优先攻击生命值最低的敌人。,造成{0}點傷害。優先攻擊生命值最低的敵人。,Deal {0} damage. Prioritizes the enemy with the lowest HP.,Deal {0} damage. Prioritizes the enemy with the lowest HP.
enemycard_projection_shield_blessing,,魔能护盾,魔能護盾,Magic Shield,Magic Shield,给予友方{0}点护盾。优先支援低生命值或没有护盾的友方。,給予友方{0}點護盾。優先支援低生命值或沒有護盾的友方。,Grant {0} Shield to an ally. Prioritizes allies with low HP or no Shield.,Grant {0} Shield to an ally. Prioritizes allies with low HP or no Shield.
enemycard_abyss_life_theft,,生机窃取,生機竊取,Life Theft,Life Theft,往魔女卡组中塞入2张{SunExp_cursecard_abyss_life_theft}。,往魔女卡組中塞入2張{SunExp_cursecard_abyss_life_theft}。,Add 2 {SunExp_cursecard_abyss_life_theft} to the Witch's deck.,Add 2 {SunExp_cursecard_abyss_life_theft} to the Witch's deck.
enemycard_abyss_deficit,,亏空,虧空,Deficit,Deficit,往魔女卡组中塞入2张{SunExp_cursecard_abyss_deficit}。,往魔女卡組中塞入2張{SunExp_cursecard_abyss_deficit}。,Add 2 {SunExp_cursecard_abyss_deficit} to the Witch's deck.,Add 2 {SunExp_cursecard_abyss_deficit} to the Witch's deck.
