Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,AttributeText,AttributeText_zh-Hant,AttributeText_en,AttributeText_ja
唯一标识,备注,名字,名字,Name,名前,描述,描述,Description,説明,,,,
solar_memory_black_sun_after,普通事件,黑日之后,黑日之后,After the Black Sun,After the Black Sun,<color=grey>特瑞厄斯</color><br>黑日之后，特瑞厄斯失去了真正的黎明，只剩下几颗残星在未被遮蔽的天空下散发暗淡的光。,<color=grey>特瑞厄斯</color><br>黑日之後，特瑞厄斯失去了真正的黎明，只剩下幾顆殘星在未被遮蔽的天空下散發暗淡的光。,"<color=grey>Terrius</color><br>After the Black Sun, Terrius lost the true dawn and still counted tomorrow beneath a scorched sky.","<color=grey>Terrius</color><br>After the Black Sun, Terrius lost the true dawn and still counted tomorrow beneath a scorched sky.",第一层·开端,第一层·开端,Layer I - Opening,Layer I - Opening
solar_memory_second_sun,普通事件,第二日轮,第二日轮,Second Sun,Second Sun,<color=grey>特瑞厄斯</color><br>白曜圣庭制造了第二日轮，重新划分昼夜。,<color=grey>特瑞厄斯</color><br>白曜聖庭製造了第二日輪，重新劃分晝夜。,"<color=grey>Terrius</color><br>The White Radiance Court made the Second Sun, an artificial sun that divided day and night without rising or setting.","<color=grey>Terrius</color><br>The White Radiance Court made the Second Sun, an artificial sun that divided day and night without rising or setting.",第一层·第四节点,第一层·第四节点,Layer I - Fourth Node,Layer I - Fourth Node
solar_memory_saint_daily,普通事件,圣女的日常,圣女的日常,Saint's Days,Saint's Days,<color=grey>白曜圣庭</color><br>乌娜每日都会在圣殿长廊为人们念出祷言。,<color=grey>白曜聖庭</color><br>烏娜每日都會在聖殿長廊為人們念出禱言。,<color=grey>White Radiance Court</color><br>Una once walked between corridors and wards as the gentlest proof of the Second Sun.,<color=grey>White Radiance Court</color><br>Una once walked between corridors and wards as the gentlest proof of the Second Sun.,第二层·开端,第二层·开端,Layer II - Opening,Layer II - Opening
solar_memory_polluted_light,普通事件,被污染的光,被污染的光,Polluted Light,Polluted Light,<color=grey>白曜圣庭</color><br>一处街区失去了颜色，一个母亲忘记了孩子。,<color=grey>白曜聖庭</color><br>一處街區失去了顏色，一個母親忘記了孩子。,"<color=grey>White Radiance Court</color><br>Color vanished first, then a person's name and traces were quietly erased by the light of the Second Sun.","<color=grey>White Radiance Court</color><br>Color vanished first, then a person's name and traces were quietly erased by the light of the Second Sun.",第二层·第四节点,第二层·第四节点,Layer II - Fourth Node,Layer II - Fourth Node
solar_memory_grief_struggle,普通事件,心哀与挣扎,心哀与挣扎,Grief and Struggle,Grief and Struggle,<color=grey>圣轮</color><br>沉默的夜晚，一行行名字被悄然烧去。,<color=grey>聖輪</color><br>沉默的夜晚，一行行名字被悄然燒去。,"<color=grey>Sacred Wheel</color><br>The Court chose silence, while Una heard the crying in empty rooms and the final names of the erased.","<color=grey>Sacred Wheel</color><br>The Court chose silence, while Una heard the crying in empty rooms and the final names of the erased.",第三层·开端,第三层·开端,Layer III - Opening,Layer III - Opening
solar_memory_above_sacred_wheel,普通事件,圣轮之上,圣轮之上,Above the Sacred Wheel,Above the Sacred Wheel,<color=grey>圣轮</color><br>乌娜戴上曜日冠冕，将被污染的光辉与众生祈祷一并收入体内。,<color=grey>圣轮</color><br>乌娜戴上曜日冠冕，将被污染的光辉与众生祈祷一并收入体内。,<color=grey>Sacred Wheel</color><br>Una wore the Solar Crown and drew polluted light and every prayer into herself.,<color=grey>Sacred Wheel</color><br>Una wore the Solar Crown and drew polluted light and every prayer into herself.,第三层·第四节点,第三层·第四节点,Layer III - Fourth Node,Layer III - Fourth Node
solar_event,普通事件,日耀事件,日耀事件,Solar Event,Solar Event,<color=grey>未知</color><br>翻开一页被尘封的记录，旧迹之下是一段难言的过往。,<color=grey>未知</color><br>翻開一頁被塵封的記錄，舊跡之下是一段難言的過往。,<color=grey>Unknown</color><br>Open a dust-sealed record. Beneath the old traces lies a past too hard to speak of.,<color=grey>Unknown</color><br>Open a dust-sealed record. Beneath the old traces lies a past too hard to speak of.,白曜余烬,白曜餘燼,Obsidian Sun Ash,Obsidian Sun Ash
solar_memory_start,普通事件,日耀回忆,日耀回憶,Solar Memory,Solar Memory,<color=grey>乌娜</color><br>本层日耀回忆在日轮残光中展开。确认套卡后，踏入首领连战。,<color=grey>烏娜</color><br>本層日耀回憶在日輪殘光中展開。確認套卡後，踏入首領連戰。,"<color=grey>Una</color><br>Solar Memory opens for this layer in the remaining sunlight. Review the deck, then enter the boss rush.","<color=grey>Una</color><br>Solar Memory opens for this layer in the remaining sunlight. Review the deck, then enter the boss rush.",本层整备,本層整備,Layer Setup,Layer Setup
solar_memory_boss_orbit_mirror_array,首领,白曜镜阵,白曜鏡陣,White Radiance Mirror Array,White Radiance Mirror Array,<color=grey>白曜圣庭</color><br>三千面环日镜仍在按照旧日钟律校准第二日轮。,<color=grey>白曜聖庭</color><br>三千面環日鏡仍在按照舊日鐘律校準第二日輪。,<color=grey>White Radiance Court</color><br>Three thousand orbit mirrors still calibrate the Second Sun by the old bells.,<color=grey>White Radiance Court</color><br>Three thousand orbit mirrors still calibrate the Second Sun by the old bells.,第二层·固定首领,第二層·固定首領,Layer II - Fixed Boss,Layer II - Fixed Boss
