Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja
唯一标识,备注,名称,名稱,Name,名称,描述,描述,Description,説明,剧情描述,劇情描述,Tips,ストーリー説明
*dusk_afterheat_recovery,伙伴被动,余热回收,餘熱回收,Afterheat Recovery,余熱回収,每当敌人{buff_burn}触发时，获得其{buff_burn}层数1/3的{Terrias_terrias_ember}与{Terrias_terrias_gathered_flame}。,每當敵人{buff_burn}觸發時，獲得其{buff_burn}層數1/3的{Terrias_terrias_ember}與{Terrias_terrias_gathered_flame}。,"Whenever an enemy's {buff_burn} triggers, gain {Terrias_terrias_ember} and {Terrias_terrias_gathered_flame} equal to one third of that enemy's {buff_burn} stacks.",敵の{buff_burn}が発動するたび、その{buff_burn}スタックの1/3に等しい{Terrias_terrias_ember}と{Terrias_terrias_gathered_flame}を得る。,黄昏会把熄灭前的最后一缕热收进胸口的残阳。,黃昏會把熄滅前的最後一縷熱收進胸口的殘陽。,Dusk gathers the last heat before the flame goes out.,黄昏は火が消える前の最後の熱を胸の残陽へ集める。
*star_clay_doll_placeholder,伙伴被动,星泥傀身,星泥傀身,Star-Clay Body,星泥傀身,战斗开始时，获得1层{Terrias_terrias_star_clay_body}。每次行动后，获得1层{Terrias_terrias_starlight}。,戰鬥開始時，獲得1層{Terrias_terrias_star_clay_body}。每次行動後，獲得1層{Terrias_terrias_starlight}。,"At combat start, gain 1 {Terrias_terrias_star_clay_body}. After each action, gain 1 {Terrias_terrias_starlight}.",戦闘開始時、{Terrias_terrias_star_clay_body}を1得る。行動後、{Terrias_terrias_starlight}を1得る。,星泥会替你记住一次没有走完的路。,星泥會替你記住一次沒有走完的路。,The star clay remembers one road you failed to finish.,星泥は歩き切れなかった道を一度だけ覚えている。
*sandrone_cat_placeholder,伙伴被动,哥！伦！比！娅！,哥！倫！比！婭！,Co! Lum! Bi! Na!,コ！ロン！ビ！ナ！,每场战斗结束时，增加自身1+4%生命值上限。,每場戰鬥結束時，自身生命值上限增加1+4%。,"At the end of each combat, increase your Max HP by 1 + 4%.",戦闘終了時、自身の最大HP上限が1+4%増加する。,,,,
*origin_strength_50,本源里程碑,魔力·本源升华,魔力·本源昇華,Magic · Origin Ascension,魔力・本源昇華,魔力达到50：每场战斗开始时，获得2张附着【绝灭】火漆的【不稳定思绪】。,魔力達到50：每場戰鬥開始時，獲得2張附著【絕滅】火漆的【不穩定思緒】。,"Magic 50: At combat start, gain 2 Unstable Thoughts bearing the Extinction seal.",魔力が50以上なら、戦闘開始時に「絶滅」の封蝋が付いた「不安定な思考」を2枚得る。,,,,
*origin_spirit_50,本源里程碑,精神·本源升华,精神·本源昇華,Spirit · Origin Ascension,精神・本源昇華,精神达到50：每场战斗开始时，魔能上限提高3点。,精神達到50：每場戰鬥開始時，魔能上限提高3點。,"Spirit 50: At combat start, increase Max Power by 3.",精神が50以上なら、戦闘開始時に魔能上限が3増加する。,,,,
*origin_fortune_50,本源里程碑,幸运·本源升华,幸運·本源昇華,Luck · Origin Ascension,幸運・本源昇華,幸运达到50：检定骰与数值骰获得50点加成；达到150点数时，额外触发2次。,幸運達到50：檢定骰與數值骰獲得50點加成；達到150點數時，額外觸發2次。,"Luck 50: Check and value dice gain +50. At 150 or higher, trigger 2 additional times.",幸運が50以上なら、判定ダイスと数値ダイスに+50。150以上なら追加で2回発動する。,,,,
*origin_perceive_50,本源里程碑,感知·本源升华,感知·本源昇華,Perception · Origin Ascension,感知・本源昇華,感知达到50：每场战斗结束后，生命值恢复至上限。,感知達到50：每場戰鬥結束後，生命值恢復至上限。,"Perception 50: After each combat, restore HP to its maximum.",感知が50以上なら、戦闘終了後にHPを最大まで回復する。,,,,
solar_witch,日耀祝福,曜日魔女,曜日魔女,Solar-Day Witch,曜日の魔女,回合开始时，随机清除一名敌方的随机一种正面 Buff；自身在本轮冒险中获得等同于所清除层数的生命值上限。,回合開始時，隨機清除一名敵方的隨機一種正面 Buff；自身在本輪冒險中獲得等同於所清除層數的生命值上限。,"At round start, remove one random positive buff from a random enemy. For this adventure, gain Max HP equal to the stacks removed.",ターン開始時、ランダムな敵1体のランダムな正面Buffを1種類解除する。この冒険中、解除したスタック数と同じだけ最大HPを得る。,,,,
white_radiance_saint,日耀祝福,白曜圣女,白曜聖女,White Radiance Saint,白曜聖女,主次本源上限+10。,主次本源上限+10。,Increase primary and secondary Origin caps by 10.,主・副本源の上限+10。,,,,
sun_priest,日耀祝福,太阳祭司,太陽祭司,Sun Priest,太陽祭司,战斗开始时，获得3层{Terrias_terrias_solar_radiance}。,戰鬥開始時，獲得3層{Terrias_terrias_solar_radiance}。,At combat start gain 3 {Terrias_terrias_solar_radiance}.,戦闘開始時、{Terrias_terrias_solar_radiance}を3得る。,,,,
forgotten_one,晨星祝福,遗忘者,遺忘者,The Forgotten,忘れられし者,战斗开始时，将1张【遗忘】放入弃牌堆。回合开始时，随机获得2层{buff_keenedge}或{buff_resilient}。,戰鬥開始時、【遺忘】を1張棄牌堆に置く。回合開始時，隨機獲得2層{buff_keenedge}或{buff_resilient}。,"At combat start, put 1 Forgetting into the discard pile. At round start, randomly gain 2 {buff_keenedge} or 2 {buff_resilient}.",戦闘開始時、「忘却」を1枚捨て札に置く。ターン開始時、{buff_keenedge}または{buff_resilient}をランダムに2得る。,,,,
dream_talker,晨星祝福,梦呓者,夢囈者,Dream Talker,夢語り,战斗开始时，将1张【幻梦】放入弃牌堆。回合开始时，获得1层{buff_evergreen}。,戰鬥開始時，將1張【幻夢】放入棄牌堆。回合開始時，獲得1層{buff_evergreen}。,At combat start put 1 Phantasm into the discard pile. At round start gain 1 {buff_evergreen}.,戦闘開始時、「幻夢」1枚を捨て札に置く。ターン開始時、{buff_evergreen}を1得る。,,,,
delirious_talker,晨星祝福,妄语者,妄語者,Delirious Talker,妄言者,战斗开始时，将1张【思维紊乱】放入弃牌堆。回合开始时，获得2层{buff_keenedge}。,戰鬥開始時，將1張【思維紊亂】放入棄牌堆。回合開始時，獲得2層{buff_keenedge}。,At combat start put 1 Disordered Thoughts into the discard pile. At round start gain 2 {buff_keenedge}.,戦闘開始時、「思考の混乱」1枚を捨て札に置く。ターン開始時、{buff_keenedge}を2得る。,,,,
wisher,晨星祝福,祈愿者,祈願者,Wisher,祈願者,战斗开始时，将1张【幻痛】放入弃牌堆。回合开始时，获得2层{buff_VowPower}。,戰鬥開始時，將1張【幻痛】放入棄牌堆。回合開始時，獲得2層{buff_VowPower}。,At combat start put 1 Phantom Pain into the discard pile. At round start gain 2 {buff_VowPower}.,戦闘開始時、「幻痛」1枚を捨て札に置く。ターン開始時、{buff_VowPower}を2得る。,,,,
unspeakable_one,晨星祝福,难言者,難言者,The Unspeakable,語れぬ者,战斗开始时，将1张【隐疾】和1张【亏空】放入弃牌堆。回合开始时，流失5点生命值，获得1点魔能；生命流失可以致死。,戰鬥開始時，將1張【隱疾】和1張【虧空】放入棄牌堆。回合開始時，流失5點生命值，獲得1點魔能；生命流失可以致死。,At combat start put 1 Hidden Illness and 1 Deficit into the discard pile. At round start lose 5 HP and gain 1 Mana; this HP loss can be lethal.,戦闘開始時、「隠れた病」と「欠損」を1枚ずつ捨て札に置く。ターン開始時、HPを5失い、魔力を1得る。このHP減少では死亡しうる。,,,,
withered_one,晨星祝福,枯槁者,枯槁者,The Withered,枯れし者,战斗开始时，将1张【腐朽】放入弃牌堆。回合开始时，恢复已损生命值的1%（至少恢复1点）。,戰鬥開始時，將1張【腐朽】放入棄牌堆。回合開始時，恢復已損生命值的1%（至少恢復1點）。,At combat start put 1 Decay into the discard pile. At round start recover 1% of missing HP (at least 1 HP).,戦闘開始時、「腐朽」1枚を捨て札に置く。ターン開始時、失ったHPの1%を回復する（最低1）。,,,,
