Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
唯一标识,对话正文,對話正文,Dialogue Text,対話本文,选项1文本,選項1文本,Choice 1 Text,選択肢1,,,,,,,,
solar_memory_opening_1,我曾经以为，第二日轮的升起是应证预言中的新生时刻。,我曾經以為，第二日輪的升起是應證預言中的新生時刻。,"I once thought the rising of the Second Sun fulfilled the prophecy's moment of rebirth.",かつて私は、第二の日輪の昇る時こそ、予言にある新生の刻なのだと思っていました。,,,,,,,,,,,,
solar_memory_opening_2,但现在想来，那时仍然处于灾难的绝望中。,但現在想來，那時仍然處於災難的絕望中。,"But looking back now, we were still inside the despair of calamity.",けれど今思えば、あの時もなお、災厄の絶望の中にいたのでしょう。,,,,,,,,,,,,
solar_memory_opening_3,白曜的归来，对于特瑞厄斯的人民来说，不过是溺水的人攀上了无根的浮木。,白曜的歸來，對於特瑞厄斯的人民來說，不過是溺水的人攀上了無根的浮木。,"To the people of Terrius, White Radiance's return was only driftwood without roots grasped by the drowning.",テリウスの民にとって白曜の帰還とは、溺れる者が根のない流木にしがみついたに過ぎませんでした。,,,,,,,,,,,,
solar_memory_opening_4,或许……,或許……,Perhaps...,あるいは……,继续回忆,繼續回憶,Continue the memory,記憶を続ける,,,,,,,,
solar_memory_second_sun_end_1,他们说，白曜不会有任何问题。,他們說，白曜不會有任何問題。,"They said there would be nothing wrong with White Radiance.",彼らは、白曜に問題など起こるはずがないと言っていました。,,,,,,,,,,,,
solar_memory_second_sun_end_2,可如今，为什么会变成这个样子……,可如今，為什麼會變成這個樣子……,"Then why has it become like this...",それなのに、なぜこんなことに……,结束,結束,End,終える,,,,,,,,
solar_memory_saint_wuna_prelude_1,我曾听过无数祈祷。,我曾聽過無數祈禱。,"I once heard countless prayers.",私はかつて、数えきれない祈りを聞いていました。,,,,,,,,,,,,
solar_memory_saint_wuna_prelude_2,那些声音曾经汇入日轮，成为白昼的一部分。,那些聲音曾經匯入日輪，成為白晝的一部分。,"Those voices once flowed into the sun-wheel and became part of the day.",それらの声は日輪へと注ぎ、白昼の一部となっていました。,,,,,,,,,,,,
solar_memory_saint_wuna_prelude_3,可如今，它们都在光里燃烧，直至成为灰烬。,可如今，它們都在光裡燃燒，直至成為灰燼。,"But now they burn inside the light until they become ash.",けれど今、それらは光の中で燃え、灰になるまで焼かれています。,,,,,,,,,,,,
solar_memory_saint_wuna_prelude_4,若这轮太阳已经无法再赐予众生，若它照亮的每一寸土地，都会成为灾厄抵达的道路。,若這輪太陽已經無法再賜予眾生，若它照亮的每一寸土地，都會成為災厄抵達的道路。,"If this sun can no longer give to the living, if every inch of land it lights becomes a road for calamity...",もしこの太陽がもはや衆生に与えることができず、照らすすべての土地が災厄の道となるのなら……,,,,,,,,,,,,
solar_memory_saint_wuna_prelude_5,那么……,那麼……,Then...,ならば……,,,,,,,,,,,,
solar_memory_saint_wuna_prelude_6,就由我来献上最后的祷告。,就由我來獻上最後的祈禱。,"I will offer the final prayer.",私が最後の祈りを捧げましょう。,迎向白曜圣女,迎向白曜聖女,Face the saint,白曜聖女へ,,,,,,,,
solar_memory_saint_wuna_end_1,你的预言……看起来就要应验了……,你的預言……看起來就要應驗了……,Your prophecy... seems about to come true...,あなたの予言は……今にも成就しそうですね……,,,,,,,,,,,,
solar_memory_saint_wuna_end_2,虽然【████】的出现只是一个意外，但如果那是你没有强行回应祈愿……,雖然【████】的出現只是一個意外，但如果那是你沒有強行回應祈願……,"Although the appearance of ████ was only an accident, if that was because you had not forced yourself to answer the prayers...",【████】の出現はただの偶然だったとしても、それがあなたが無理に祈願へ応えなかった結果なら……,,,,,,,,,,,,
solar_memory_saint_wuna_end_3,【新生】或许也会到来，但这个世界却不会再有这一簇星火了。,【新生】或許也會到來，但這個世界卻不會再有這一簇星火了。,"Rebirth may have come too, but this world would no longer have this small cluster of starlight.",【新生】も訪れたかもしれません。けれどこの世界に、この小さな星火はもう残らなかったでしょう。,结束,結束,End,終える,,,,,,,,
