"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"唯一标识","FALSE","类型","备注","名称","Name","名稱","名称","描述","描述","Description","説明"
"*star_morning_guidance","TRUE","职业技能","","晨星指引","Morning Star Guidance","晨星指引","晨星の導き","触发一次自然晨星：将白石加入手牌，获得1层{StarExp_star_miracle_starlight}，并重置{StarExp_star_miracle_miracle_pouch}与{StarExp_star_miracle_miracle_clock}。","觸發一次自然晨星：將白石加入手牌，獲得1層{StarExp_star_miracle_starlight}，並重置{StarExp_star_miracle_miracle_pouch}與{StarExp_star_miracle_miracle_clock}。","Trigger a natural Morning Star: add White Stone to hand, gain 1 {StarExp_star_miracle_starlight}, and reset {StarExp_star_miracle_miracle_pouch} and {StarExp_star_miracle_miracle_clock}.","自然な晨星を発動する。白石を手札に加え、{StarExp_star_miracle_starlight}を1得て、{StarExp_star_miracle_miracle_pouch}と{StarExp_star_miracle_miracle_clock}をリセットする。"
"*star_borrowed_miracle","TRUE","职业技能","","借来的奇迹","Borrowed Miracle","借來的奇蹟","借りた奇跡","提前触发晨星：将白石加入手牌，并获得1层{StarExp_star_miracle_clock_debt}。每3层{StarExp_star_miracle_starlight}可抵消1层钟债。","提前觸發晨星：將白石加入手牌，並獲得1層{StarExp_star_miracle_clock_debt}。每3層{StarExp_star_miracle_starlight}可抵消1層鐘債。","Trigger Morning Star early: add White Stone to hand and gain 1 {StarExp_star_miracle_clock_debt}. Every 3 {StarExp_star_miracle_starlight} can offset 1 debt.","晨星を早めに発動する。白石を手札に加え、{StarExp_star_miracle_clock_debt}を1得る。{StarExp_star_miracle_starlight}3ごとに鐘債1を相殺できる。"
"white_stone","TRUE","技能牌","token","白石","White Stone","白石","白石","获得1层{StarExp_star_miracle_white_stone_power}。本场战斗中，下一次自然晨星额外获得1层{StarExp_star_miracle_starlight}。","獲得1層{StarExp_star_miracle_white_stone_power}。本場戰鬥中，下一次自然晨星額外獲得1層{StarExp_star_miracle_starlight}。","Gain 1 {StarExp_star_miracle_white_stone_power}. During this combat, your next natural Morning Star gains 1 extra {StarExp_star_miracle_starlight}.","{StarExp_star_miracle_white_stone_power}を1得る。この戦闘中、次の自然な晨星は追加で{StarExp_star_miracle_starlight}を1得る。"
"morning_star_blade","TRUE","攻击牌","","晨星刃","Morning Star Blade","晨星刃","晨星刃","造成{0}点伤害。本回合若摸到过黑石，伤害提高。","造成{0}點傷害。本回合若摸到過黑石，傷害提高。","Deal {0} damage. If you drew a black stone this round, this deals more damage.","{0}ダメージを与える。このターン黒石を引いていたなら、ダメージが増える。"
"stargaze","TRUE","技能牌","","观星","Stargaze","觀星","星見","获得{0}点护盾。从{StarExp_star_miracle_miracle_pouch}中移除1枚黑石。","獲得{0}點護盾。從{StarExp_star_miracle_miracle_pouch}中移除1枚黑石。","Gain {0} Block. Remove 1 black stone from {StarExp_star_miracle_miracle_pouch}.","{0}ブロックを得る。{StarExp_star_miracle_miracle_pouch}から黒石を1個取り除く。"
"morning_star_guidance","TRUE","技能牌","","晨星导引","Morning Star Lead","晨星導引","晨星導引","抽1张牌。获得1层{StarExp_star_miracle_starlight}。","抽1張牌。獲得1層{StarExp_star_miracle_starlight}。","Draw 1 card. Gain 1 {StarExp_star_miracle_starlight}.","カードを1枚引く。{StarExp_star_miracle_starlight}を1得る。"
"clock_hand","TRUE","技能牌","","拨针","Clock Hand","撥針","針を進める","减少2点{StarExp_star_miracle_miracle_clock}。若因此触发借来的奇迹，本次不获得{StarExp_star_miracle_clock_debt}。","減少2點{StarExp_star_miracle_miracle_clock}。若因此觸發借來的奇蹟，本次不獲得{StarExp_star_miracle_clock_debt}。","Reduce {StarExp_star_miracle_miracle_clock} by 2. If this triggers a borrowed miracle, gain no {StarExp_star_miracle_clock_debt} this time.","{StarExp_star_miracle_miracle_clock}を2減らす。これで借りた奇跡が発動した場合、今回は{StarExp_star_miracle_clock_debt}を得ない。"
"ninth_attempt","TRUE","技能牌","","第九次尝试","Ninth Attempt","第九次嘗試","九度目の試み","获得{0}点护盾。本回合每摸到过1枚黑石，额外护盾已计入。","獲得{0}點護盾。本回合每摸到過1枚黑石，額外護盾已計入。","Gain {0} Block. Extra Block from black stones drawn this round is included.","{0}ブロックを得る。このターン引いた黒石による追加ブロックは反映済み。"
"restless_practice","TRUE","攻击牌","","不安练习","Restless Practice","不安練習","落ち着かぬ練習","造成{0}点伤害。本场战斗每摸到过1枚黑石，伤害提高。","造成{0}點傷害。本場戰鬥每摸到過1枚黑石，傷害提高。","Deal {0} damage. Damage increases for each black stone drawn this combat.","{0}ダメージを与える。この戦闘で引いた黒石ごとにダメージが増える。"
"borrowed_miracle","TRUE","技能牌","","借来的白石","Borrowed White Stone","借來的白石","借りた白石","提前触发晨星：将白石加入手牌，并获得1层{StarExp_star_miracle_clock_debt}。","提前觸發晨星：將白石加入手牌，並獲得1層{StarExp_star_miracle_clock_debt}。","Trigger Morning Star early: add White Stone to hand and gain 1 {StarExp_star_miracle_clock_debt}.","晨星を早めに発動する。白石を手札に加え、{StarExp_star_miracle_clock_debt}を1得る。"
"repayment_night","TRUE","技能牌","","还债夜","Repayment Night","還債夜","返済の夜","失去等同于{StarExp_star_miracle_clock_debt}层数的生命，清除{StarExp_star_miracle_clock_debt}，然后抽等量的牌。","失去等同於{StarExp_star_miracle_clock_debt}層數的生命，清除{StarExp_star_miracle_clock_debt}，然後抽等量的牌。","Lose life equal to your {StarExp_star_miracle_clock_debt}, clear it, then draw that many cards.","{StarExp_star_miracle_clock_debt}に等しい生命を失い、それを消して、同じ枚数のカードを引く。"
"star_thread_pull","TRUE","技能牌","","牵星线","Star-Thread Pull","牽星線","星糸を引く","从{StarExp_star_miracle_miracle_pouch}中移除2枚黑石。","從{StarExp_star_miracle_miracle_pouch}中移除2枚黑石。","Remove 2 black stones from {StarExp_star_miracle_miracle_pouch}.","{StarExp_star_miracle_miracle_pouch}から黒石を2個取り除く。"
"starlight_fragment","TRUE","技能牌","","星辉碎片","Starlight Fragment","星輝碎片","星輝の欠片","获得1层{StarExp_star_miracle_starlight}。若没有{StarExp_star_miracle_clock_debt}，抽1张牌。","獲得1層{StarExp_star_miracle_starlight}。若沒有{StarExp_star_miracle_clock_debt}，抽1張牌。","Gain 1 {StarExp_star_miracle_starlight}. If you have no {StarExp_star_miracle_clock_debt}, draw 1 card.","{StarExp_star_miracle_starlight}を1得る。{StarExp_star_miracle_clock_debt}がなければカードを1枚引く。"
