Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,备注,系列,标签,名称,名稱,Name,名称,剧情描述,劇情描述,Tips,ストーリー説明,描述,描述,Description,説明
morning_shard,,日耀遗物,,晨辉碎片,晨輝碎片,Morning Shard,晨輝の欠片,白曜圣庭从腐坏的天幕中提炼出的第一缕无污染光。它曾嵌在曜日冕冠边缘，仪式失败后仍在余烬里发亮。,白曜聖庭從腐壞的天幕中提煉出的第一縷無污染光。它曾嵌在曜日冕冠邊緣，儀式失敗後仍在餘燼裡發亮。,The first ray of untainted light refined by the White Radiance Court from the corrupted canopy. It once sat on the edge of the Solar Crown and still glows in the embers after the ritual failed.,白曜聖庭が腐敗した天幕から精製した、最初の汚れなき光。かつて曜日冕冠の縁にはめ込まれ、儀式の失敗後も余燼の中で輝いている。,战斗开始时，获得2层{Terrias_terrias_solar_radiance}。,戰鬥開始時，獲得2層{Terrias_terrias_solar_radiance}。,"At combat start, gain 2 stacks of {Terrias_terrias_solar_radiance}.",戦闘開始時、{Terrias_terrias_solar_radiance}を2スタック得る。
*ember_cloak_lining,,日耀遗物,,烬衣衬布,燼衣襯布,Ember Cloak Lining,燼衣の裏布,缝在圣女礼衣最内侧的衬布，因为其材质得以保留部分。,縫在聖女禮衣最內側的襯布，因為其材質得以保留部分。,A lining sewn into the innermost layer of the saint's ceremonial robe. Its material allowed part of it to survive.,聖女の礼衣の最も内側に縫い込まれた裏布。その材質ゆえに一部が残された。,回合开始时，移除1层{buff_burn}，获得2层{Terrias_terrias_gathered_flame}。,回合開始時，移除1層{buff_burn}，獲得2層{Terrias_terrias_gathered_flame}。,"At round start, remove 1 stack of {buff_burn} and gain 2 stacks of {Terrias_terrias_gathered_flame}.",ターン開始時、{buff_burn}を1スタック取り除き、{Terrias_terrias_gathered_flame}を2スタック得る。
sun_orbit_mirror,,日耀遗物,,环日镜,環日鏡,Sun-Orbit Mirror,環日鏡,控制第二日轮照射角度的巨型镜阵核心，在圣轮之殿内共摆列三千件。,控制第二日輪照射角度的巨型鏡陣核心，在聖輪之殿內共擺列三千件。,The core of a massive mirror array that controlled the Second Sun's angle of illumination. Three thousand of them stood in the Hall of the Sacred Wheel.,第二日輪の照射角度を制御する巨大な鏡陣の中核。聖輪の殿には三千基が並べられていた。,每行动3次，获得1层{Terrias_terrias_gathered_flame}，对随机敌人施加3层{buff_burn}。,每行動3次，獲得1層{Terrias_terrias_gathered_flame}，對隨機敵人施加3層{buff_burn}。,"Every 3 actions, gain 1 stack of {Terrias_terrias_gathered_flame} and apply 3 stacks of {buff_burn} to a random enemy.",3回行動するたび、{Terrias_terrias_gathered_flame}を1スタック得て、ランダムな敵に{buff_burn}を3スタック付与する。
sun_bottle,,日耀遗物,,太阳瓶,太陽瓶,Sun Bottle,太陽瓶,黄昏诞生后遗留下来的小玩意。,黃昏誕生後遺留下來的小玩意。,A little thing left behind after Dusk was born.,黄昏が生まれた後に残された小さな品。,回合开始时，随机一名带有{buff_burn}的敌人，其{buff_burn}立刻生效一次。,回合開始時，隨機一名帶有{buff_burn}的敵人，其{buff_burn}立刻生效一次。,"At round start, trigger {buff_burn} once on a random enemy that has it.",ターン開始時、{buff_burn}を持つランダムな敵1体の{buff_burn}を1回発動する。
solar_phase_dial,,日耀遗物,,日相刻盘,日相刻盤,Solar Phase Dial,日相刻盤,记录第二日轮晨、午、冕三相的刻盘。每一格刻度都对应一段祈祷时辰。,記錄第二日輪晨、午、冕三相的刻盤。每一格刻度都對應一段祈禱時辰。,"A dial recording the dawn, noon, and crown phases of the Second Sun. Each mark corresponds to an hour of prayer.",第二日輪の朝、正午、冠の三相を記録する刻盤。ひと目盛りごとに祈りの時刻が対応している。,回合开始时，根据{Terrias_terrias_solar_radiance}层数最多触发三种效果：4+抽1张牌，8+获得1点魔能，12+全体{buff_burn}立刻生效一次。,回合開始時，根據{Terrias_terrias_solar_radiance}層數最多觸發三種效果：4+抽1張牌，8+獲得1點魔能，12+全體{buff_burn}立刻生效一次。,"At round start, trigger up to three effects based on your {Terrias_terrias_solar_radiance} stacks: 4+ draw 1 card, 8+ gain 1 Mana, 12+ all combatants' {buff_burn} triggers once.",ターン開始時、{Terrias_terrias_solar_radiance}スタックに応じて最大3つの効果を発動する：4+カードを1枚引く、8+魔能を1得る、12+全員の{buff_burn}を1回発動する。
miniature_sunwheel,,日耀遗物,,小型日轮,小型日輪,Miniature Sunwheel,小型日輪,模仿第二日轮制作的纪念品，不知什么时候拥有了神奇效用。,模仿第二日輪製作的紀念品，不知什麼時候擁有了神奇效用。,"A souvenir made in imitation of the Second Sun. At some unknown point, it gained a strange power.",第二日輪を模して作られた記念品。いつの間にか不思議な効力を宿していた。,回合开始时，获得自身负面 Buff 总层数等量的{Terrias_terrias_gathered_flame}，敌方全体获得你{Terrias_terrias_solar_radiance}层数的{buff_burn}。,回合開始時，獲得自身負面 Buff 總層數等量的{Terrias_terrias_gathered_flame}，敵方全體獲得你{Terrias_terrias_solar_radiance}層數的{buff_burn}。,"At round start, gain {Terrias_terrias_gathered_flame} equal to your total negative buff stacks. All enemies gain {buff_burn} equal to your {Terrias_terrias_solar_radiance} stacks.",ターン開始時、自身のデバフの合計スタック数に等しい{Terrias_terrias_gathered_flame}を得る。敵全体に自身の{Terrias_terrias_solar_radiance}スタック分の{buff_burn}を付与する。
blazing_crown_heart,,日耀遗物,,炽冠圣心,熾冠聖心,Blazing Crown Heart,熾冠聖心,破碎曜日冕冠与乌娜心脏熔合后的魔女核心。,破碎曜日冕冠與烏娜心臟熔合後的魔女核心。,The witch core formed when the shattered Solar Crown fused with Wuna's heart.,砕けた曜日冕冠とウナの心臓が熔け合って生まれた魔女の核。,战斗开始时，获得8层{Terrias_terrias_solar_radiance}、1层{Terrias_terrias_solar_crown}，为场地铺上2层{Terrias_terrias_scorching_canopy}。,戰鬥開始時，獲得8層{Terrias_terrias_solar_radiance}、1層{Terrias_terrias_solar_crown}，為場地鋪上2層{Terrias_terrias_scorching_canopy}。,"At combat start, gain 8 stacks of {Terrias_terrias_solar_radiance} and 1 stack of {Terrias_terrias_solar_crown}, then lay 2 stacks of {Terrias_terrias_scorching_canopy} over the battlefield.",戦闘開始時、{Terrias_terrias_solar_radiance}を8、{Terrias_terrias_solar_crown}を1スタック得て、場に{Terrias_terrias_scorching_canopy}を2スタック敷く。
solar_prism,,日耀遗物,,日心棱镜,日心稜鏡,Solar Prism,日心プリズム,封有微型日核的棱镜，纯净的光透过会折出明艳的晨色。,封有微型日核的稜鏡，純淨的光透過會折出明豔的晨色。,A prism sealing a miniature solar core. Pure light passing through it refracts into vivid dawn color.,小さな日核を封じたプリズム。清い光が通ると鮮やかな朝の色に屈折する。,战斗开始时，获得1层{Terrias_terrias_solar_radiance}。每回合第一次获得{Terrias_terrias_solar_radiance}后，额外获得1层{buff_elements}。,戰鬥開始時，獲得1層{Terrias_terrias_solar_radiance}。每回合第一次獲得{Terrias_terrias_solar_radiance}後，額外獲得1層{buff_elements}。,"At combat start, gain 1 stack of {Terrias_terrias_solar_radiance}. Each round, after you first gain {Terrias_terrias_solar_radiance}, gain 1 extra stack of {buff_elements}.",戦闘開始時、{Terrias_terrias_solar_radiance}を1スタック得る。各ターンで初めて{Terrias_terrias_solar_radiance}を得た後、追加で{buff_elements}を1スタック得る。
coronation_throne,,日耀遗物,,授冕圣座,授冕聖座,Coronation Throne,授冕聖座,灾厄入冠的那一夜，圣座随炽冕一同崩落。,災厄入冠的那一夜，聖座隨熾冕一同崩落。,"On the night calamity entered the crown, the holy throne collapsed together with the blazing crown.",災厄が冠へ入った夜、聖座は熾冕とともに崩れ落ちた。,每场战斗第一次获得{Terrias_terrias_solar_crown}后，抽2张牌并回复2点魔能。,每場戰鬥第一次獲得{Terrias_terrias_solar_crown}後，抽2張牌並回復2點魔能。,"Each combat, after you first gain {Terrias_terrias_solar_crown}, draw 2 cards and restore 2 Mana.",各戦闘で初めて{Terrias_terrias_solar_crown}を得た後、カードを2枚引き、魔能を2回復する。
gathered_flame_charm,,日耀遗物,,聚炎护符,聚炎護符,Gathered Flame Charm,聚炎護符,护心之符，收拢新增的灼痕和祈愿，形成更加凝实的“聚炎”。,護心之符，收攏新增的灼痕和祈願，形成更加凝實的「聚炎」。,"A heart-guarding charm that gathers fresh scorch marks and prayers, forming denser Gathered Flame.",心を護る符。新しい灼痕と祈願を集め、より凝縮した聚炎を形作る。,自身{buff_burn}层数增加后，获得等量的{Terrias_terrias_gathered_flame}。,自身{buff_burn}層數增加後，獲得等量的{Terrias_terrias_gathered_flame}。,"After your {buff_burn} stacks increase, gain the same amount of {Terrias_terrias_gathered_flame}.",自身の{buff_burn}スタックが増えた後、同量の{Terrias_terrias_gathered_flame}を得る。
ash_charm,,日耀遗物,,灰烬护符,灰燼護符,Ash Charm,灰燼護符,由烧尽的签名与书册凝成的护符。,由燒盡的簽名與書冊凝成的護符。,A charm condensed from burned signatures and books.,焼け尽きた署名と書物から凝り固まった護符。,回合结束时，获得等于自身{buff_burn}层数的{Terrias_terrias_ember}和护盾。,回合結束時，獲得等於自身{buff_burn}層數的{Terrias_terrias_ember}和護盾。,"At round end, gain {Terrias_terrias_ember} and Block equal to your {buff_burn} stacks.",ターン終了時、自身の{buff_burn}スタックに等しい{Terrias_terrias_ember}とシールドを得る。
blazing_sundial,,日耀遗物,,曜阳日晷,曜陽日晷,Blazing Sundial,曜陽日時計,立在炽灼天幕影下的日晷，让所有污邪之物无所遁形。,立在熾灼天幕影下的日晷，讓所有污邪之物無所遁形。,"A sundial standing beneath the Scorching Canopy, leaving all unclean things nowhere to hide.",熾灼天幕の影に立つ日時計。すべての穢れたものを逃げ場なく照らし出す。,回合开始时，至多4名带有{buff_burn}的敌人获得1层{buff_weak}和1层{buff_rotten}。,回合開始時，至多4名帶有{buff_burn}的敵人獲得1層{buff_weak}和1層{buff_rotten}。,"At round start, up to 4 enemies with {buff_burn} gain 1 stack of {buff_weak} and 1 stack of {buff_rotten}.",ターン開始時、{buff_burn}を持つ敵最大4体に{buff_weak}を1スタック、{buff_rotten}を1スタック付与する。
burning_calamity_wind_belt,,日耀遗物,,燃灾风带,燃災風帶,Burning Calamity Wind Belt,燃災風帯,环绕曜日魔女而行的风带，将灾厄与罪孽一同点燃。,環繞曜日魔女而行的風帶，將災厄與罪孽一同點燃。,"A wind belt circling the Solar Witch, setting calamity and sin alight together.",曜日魔女の周囲を巡る風帯。災厄と罪をともに燃え上がらせる。,回合开始时，至多4名带有{buff_burn}的敌人各使随机另一名敌人获得3层{buff_burn}。,回合開始時，至多4名帶有{buff_burn}的敵人各使隨機另一名敵人獲得3層{buff_burn}。,"At round start, up to 4 enemies with {buff_burn} each cause a random other enemy to gain 3 stacks of {buff_burn}.",ターン開始時、{buff_burn}を持つ敵最大4体が、それぞれランダムな別の敵に{buff_burn}を3スタック付与する。
timeless_clock,,晨星遗物,,无刻时钟,無刻時鐘,Timeless Clock,無刻の時計,没有刻度的表盘，永不停歇的时针。,沒有刻度的錶盤，永不停歇的時針。,"A dial without markings, its hour hand never ceasing.",目盛りのない文字盤、止まることのない時針。,每行动3次，随机使1张费用大于0的手牌在本场战斗中费用变为0。,每行動3次，隨機使1張費用大於0的手牌在本場戰鬥中費用變為0。,"Every 3 actions, a random card in your hand that costs more than 0 costs 0 for this combat.",3回行動するたび、コストが0より大きい手札をランダムに1枚選び、この戦闘中のコストを0にする。
loneer_star_stone_pouch,,晨星遗物,,洛奈尔的星石袋,洛奈爾的星石袋,Loneer's Star Stone Pouch,ロネールの星石袋,被洛奈尔藏于衣内侧的备用星石袋。,被洛奈爾藏於衣內側的備用星石袋。,A spare Star Stone Pouch hidden inside Loneer's clothes.,ロネールが服の内側に隠していた予備の星石袋。,战斗开始时，额外获得1个{Terrias_terrias_relic_star_stone_pouch}。,戰鬥開始時，額外獲得1個{Terrias_terrias_relic_star_stone_pouch}。,"At combat start, gain 1 extra {Terrias_terrias_relic_star_stone_pouch}.",戦闘開始時、追加で{Terrias_terrias_relic_star_stone_pouch}を1つ得る。
fox_woman_harp,,晨星遗物,,狐女的竖琴,狐女的豎琴,Fox-Woman's Harp,狐女の竪琴,缠着褪色红绳的竖琴，在旷野与森林中奏着谎言者的自白。,纏著褪色紅繩的豎琴，在曠野與森林中奏著謊言者的自白。,"A harp wound with faded red cord, playing a liar's confession across wilderness and forest.",色褪せた赤い紐が巻かれた竪琴。荒野と森で、嘘つきの告白を奏でている。,每向敌方施加2次负面 Buff，随机清除自身1种负面 Buff；同一次施加无论层数多少，只计1次。,每向敵方施加2次負面 Buff，隨機清除自身1種負面 Buff；同一次施加無論層數多少，只計1次。,"Every 2 times you apply a negative buff to an enemy, remove 1 random type of negative buff from yourself; each application counts once regardless of stacks.",敵に負面Buffを2回付与するたび、自身の負面Buffをランダムに1種類解除する。1回の付与はスタック数に関係なく1回と数える。
dim_star_stone,,晨星遗物,,黯淡星石,黯淡星石,Dim Star Stone,褪せた星石,失去能量的星石，看起来与一般石头没有什么不同。,失去能量的星石，看起來與一般石頭沒有什麼不同。,A Star Stone drained of its power. It looks no different from an ordinary rock.,力を失った星石。見た目は普通の石と何も変わらない。,回合开始时，随机获得1层正面 Buff。,回合開始時，隨機獲得1層正面 Buff。,At round start gain 1 stack of a random positive buff.,ターン開始時、ランダムな正面Buffを1スタック得る。
black_sun_cross,,晨星遗物,,黑日十字,黑日十字,Black Sun Cross,黒日の十字,原本是民众用于祈祷的圣物，看起来受到黑日之灾的影响，模样变了大半。,原本是民眾用於祈禱的聖物，看起來受到黑日之災的影響，模樣變了大半。,"Once a sacred object used by the people for prayer, it seems to have been greatly altered by the Black Sun Calamity.",かつて民衆が祈りに用いた聖物。黒日の災いの影響を受けたらしく、その姿は大きく変わっている。,每回合开始的抽牌结束后，手牌中每有1张诅咒，获得1层{buff_VowPower}。回合结束时，每层{buff_VowPower}恢复相当于最大生命值1%的生命，且不消耗{buff_VowPower}。,每回合開始的抽牌結束後，手牌中每有1張詛咒，獲得1層{buff_VowPower}。回合結束時，每層{buff_VowPower}恢復相當於最大生命值1%的生命，且不消耗{buff_VowPower}。,"After drawing at the start of each round, gain 1 {buff_VowPower} for each Curse in your hand. At round end, each {buff_VowPower} restores HP equal to 1% of Max HP without being consumed.",各ターン開始時のドロー後、手札の呪い1枚につき{buff_VowPower}を1得る。ターン終了時、{buff_VowPower}1につき最大HPの1%を回復し、{buff_VowPower}は消費しない。
