Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,备注,系列,标签,名称,名稱,Name,名称,剧情描述,劇情描述,Tips,ストーリー説明,描述,描述,Description,説明
morning_shard,,日耀遗物,,晨辉碎片,晨輝碎片,Morning Shard,晨輝の欠片,白曜圣庭从腐坏天幕中提炼出的第一缕无污染光。它曾嵌在曜日冕冠边缘，仪式失败后仍在余烬里发亮。,白曜聖庭從腐壞天幕中提煉出的第一縷無污染光。它曾嵌在曜日冕冠邊緣，儀式失敗後仍在餘燼裡發亮。,The first ray of untainted light refined by the White Radiance Court from the corrupted canopy. It once sat on the edge of the Solar Crown and still glows in the embers after the ritual failed.,白曜聖庭が腐敗した天幕から精製した、最初の汚れなき光。かつて曜日冕冠の縁にはめ込まれ、儀式の失敗後も余燼の中で輝いている。,战斗开始时，获得2层{SunExp_sunexp_solar_radiance}。,戰鬥開始時，獲得2層{SunExp_sunexp_solar_radiance}。,"At combat start, gain 2 stacks of {SunExp_sunexp_solar_radiance}.",戦闘開始時、{SunExp_sunexp_solar_radiance}を2スタック得る。
ember_cloak_lining,,日耀遗物,,烬衣衬布,燼衣襯布,Ember Cloak Lining,燼衣の裏布,缝在圣女礼衣最内侧的衬布，因为其材质得以保留部分。,縫在聖女禮衣最內側的襯布，因為其材質得以保留部分。,A lining sewn into the innermost layer of the saint's ceremonial robe. Its material allowed part of it to survive.,聖女の礼衣の最も内側に縫い込まれた裏布。その材質ゆえに一部が残された。,回合开始时，移除1层{buff_burn}，获得2层{SunExp_sunexp_gathered_flame}。,回合開始時，移除1層{buff_burn}，獲得2層{SunExp_sunexp_gathered_flame}。,"At round start, remove 1 stack of {buff_burn} and gain 2 stacks of {SunExp_sunexp_gathered_flame}.",ターン開始時、{buff_burn}を1スタック取り除き、{SunExp_sunexp_gathered_flame}を2スタック得る。
sun_orbit_mirror,,日耀遗物,,环日镜,環日鏡,Sun-Orbit Mirror,環日鏡,控制第二日轮照射角度的巨型镜阵核心，在圣轮之殿内共摆列三千件。,控制第二日輪照射角度的巨型鏡陣核心，在聖輪之殿內共擺列三千件。,The core of a massive mirror array that controlled the Second Sun's angle of illumination. Three thousand of them stood in the Hall of the Sacred Wheel.,第二日輪の照射角度を制御する巨大な鏡陣の中核。聖輪の殿には三千基が並べられていた。,每行动3次，若你拥有{SunExp_sunexp_solar_radiance}，对随机敌人施加2层{buff_burn}；否则获得2层{SunExp_sunexp_solar_radiance}。,每行動3次，若你擁有{SunExp_sunexp_solar_radiance}，對隨機敵人施加2層{buff_burn}；否則獲得2層{SunExp_sunexp_solar_radiance}。,"Every 3 actions, if you have {SunExp_sunexp_solar_radiance}, apply 2 stacks of {buff_burn} to a random enemy; otherwise gain 2 stacks of {SunExp_sunexp_solar_radiance}.",3回行動するたび、{SunExp_sunexp_solar_radiance}を持つならランダムな敵に{buff_burn}を2スタック付与する。持たないなら{SunExp_sunexp_solar_radiance}を2スタック得る。
sun_bottle,,日耀遗物,,太阳瓶,太陽瓶,Sun Bottle,太陽瓶,黄昏诞生后遗留下来的小玩意。,黃昏誕生後遺留下來的小玩意。,A little thing left behind after Dusk was born.,黄昏が生まれた後に残された小さな品。,回合开始时，随机一名带有{buff_burn}的敌人，其{buff_burn}立刻生效一次。,回合開始時，隨機一名帶有{buff_burn}的敵人，其{buff_burn}立刻生效一次。,"At round start, trigger {buff_burn} once on a random enemy that has it.",ターン開始時、{buff_burn}を持つランダムな敵1体の{buff_burn}を1回発動する。
solar_phase_dial,,日耀遗物,,日相刻盘,日相刻盤,Solar Phase Dial,日相刻盤,记录第二日轮晨、午、冕三相的刻盘。每一格刻度都对应一段祈祷时辰。,記錄第二日輪晨、午、冕三相的刻盤。每一格刻度都對應一段祈禱時辰。,"A dial recording the dawn, noon, and crown phases of the Second Sun. Each mark corresponds to an hour of prayer.",第二日輪の朝、正午、冠の三相を記録する刻盤。ひと目盛りごとに祈りの時刻が対応している。,回合开始时，根据{SunExp_sunexp_solar_radiance}层数最多触发三种效果：4+抽1张牌，8+获得1点魔能，12+全体{buff_burn}立刻生效一次。,回合開始時，根據{SunExp_sunexp_solar_radiance}層數最多觸發三種效果：4+抽1張牌，8+獲得1點魔能，12+全體{buff_burn}立刻生效一次。,"At round start, trigger up to three effects based on your {SunExp_sunexp_solar_radiance} stacks: 4+ draw 1 card, 8+ gain 1 Mana, 12+ all combatants' {buff_burn} triggers once.",ターン開始時、{SunExp_sunexp_solar_radiance}スタックに応じて最大3つの効果を発動する：4+カードを1枚引く、8+魔能を1得る、12+全員の{buff_burn}を1回発動する。
miniature_sunwheel,,日耀遗物,,小型日轮,小型日輪,Miniature Sunwheel,小型日輪,模仿第二日轮制作的纪念品，不知什么时候拥有了神奇效用。,模仿第二日輪製作的紀念品，不知什麼時候擁有了神奇效用。,"A souvenir made in imitation of the Second Sun. At some unknown point, it gained a strange power.",第二日輪を模して作られた記念品。いつの間にか不思議な効力を宿していた。,回合开始时，若存在{SunExp_sunexp_scorching_canopy}，获得自身负面 Buff 总层数等量的{SunExp_sunexp_gathered_flame}。,回合開始時，若存在{SunExp_sunexp_scorching_canopy}，獲得自身負面 Buff 總層數等量的{SunExp_sunexp_gathered_flame}。,"At round start, if {SunExp_sunexp_scorching_canopy} is present, gain {SunExp_sunexp_gathered_flame} equal to your total negative buff stacks.",ターン開始時、{SunExp_sunexp_scorching_canopy}があるなら、自身のデバフの合計スタック数に等しい{SunExp_sunexp_gathered_flame}を得る。
blazing_crown_heart,,日耀遗物,,炽冠圣心,熾冠聖心,Blazing Crown Heart,熾冠聖心,破碎曜日冕冠与乌娜心脏熔合后的魔女核心。,破碎曜日冕冠與烏娜心臟熔合後的魔女核心。,The witch core formed when the shattered Solar Crown fused with Wuna's heart.,砕けた曜日冕冠とウナの心臓が熔け合って生まれた魔女の核。,战斗开始时，获得1层{SunExp_sunexp_solar_crown}、4层{SunExp_sunexp_solar_radiance}、2层{SunExp_sunexp_scorching_canopy}。回合开始时，敌方全体获得你日耀层数的{buff_burn}。,戰鬥開始時，獲得1層{SunExp_sunexp_solar_crown}、4層{SunExp_sunexp_solar_radiance}、2層{SunExp_sunexp_scorching_canopy}。回合開始時，敵方全體獲得你日耀層數的{buff_burn}。,"At combat start, gain 1 stack of {SunExp_sunexp_solar_crown}, 4 stacks of {SunExp_sunexp_solar_radiance}, and 2 stacks of {SunExp_sunexp_scorching_canopy}. At round start, all enemies gain {buff_burn} equal to your Solar Radiance stacks.",戦闘開始時、{SunExp_sunexp_solar_crown}を1、{SunExp_sunexp_solar_radiance}を4、{SunExp_sunexp_scorching_canopy}を2スタック得る。ターン開始時、敵全体に自身の日耀スタック分の{buff_burn}を付与する。
solar_prism,,日耀遗物,,日心棱镜,日心稜鏡,Solar Prism,日心プリズム,封有微型日核的棱镜，纯净的光透过会折出明艳的晨色。,封有微型日核的稜鏡，純淨的光透過會折出明豔的晨色。,A prism sealing a miniature solar core. Pure light passing through it refracts into vivid dawn color.,小さな日核を封じたプリズム。清い光が通ると鮮やかな朝の色に屈折する。,战斗开始时，获得1层{SunExp_sunexp_solar_radiance}。每回合第一次获得{SunExp_sunexp_solar_radiance}后，额外获得1层{buff_elements}。,戰鬥開始時，獲得1層{SunExp_sunexp_solar_radiance}。每回合第一次獲得{SunExp_sunexp_solar_radiance}後，額外獲得1層{buff_elements}。,"At combat start, gain 1 stack of {SunExp_sunexp_solar_radiance}. Each round, after you first gain {SunExp_sunexp_solar_radiance}, gain 1 extra stack of {buff_elements}.",戦闘開始時、{SunExp_sunexp_solar_radiance}を1スタック得る。各ターンで初めて{SunExp_sunexp_solar_radiance}を得た後、追加で{buff_elements}を1スタック得る。
coronation_throne,,日耀遗物,,授冕圣座,授冕聖座,Coronation Throne,授冕聖座,灾厄入冠的那一夜，圣座随炽冕一同崩落。,災厄入冠的那一夜，聖座隨熾冕一同崩落。,"On the night calamity entered the crown, the holy throne collapsed together with the blazing crown.",災厄が冠へ入った夜、聖座は熾冕とともに崩れ落ちた。,每场战斗第一次获得{SunExp_sunexp_solar_crown}后，抽2张牌并回复2点魔能。,每場戰鬥第一次獲得{SunExp_sunexp_solar_crown}後，抽2張牌並回復2點魔能。,"Each combat, after you first gain {SunExp_sunexp_solar_crown}, draw 2 cards and restore 2 Mana.",各戦闘で初めて{SunExp_sunexp_solar_crown}を得た後、カードを2枚引き、魔能を2回復する。
