"Id","Note","Description","Keywords","Keywords_zh-Hant","Keywords_en","Description_zh-Hant","Description_en","Keywords_ja","Description_ja","ShouldShow"
"唯一标识","备注","描述","关键词","關鍵詞","keyword","描述","description","Keywords_ja","Description_ja",""
"自然晨星","","获得当前【指引牌】的复制，重置【星石袋】，然后重新选取【指引牌】。","自然晨星","自然晨星","Natural Morning Star","獲得目前【指引牌】的複製，重置【星石袋】，然後重新選取【指引牌】。","Gain a copy of the current Guidance card, reset the Star Stone Pouch, then choose a new Guidance card.","自然晨星","現在の【導き札】のコピーを1枚得て、【星石袋】をリセットし、その後新しい【導き札】を選ぶ。","TRUE"
"借来的奇迹","","获得当前【指引牌】的复制，令【奇迹时钟】上限-1（最低6），重置【星石袋】与【奇迹时钟】，获得等同新上限的【星辉】，然后重新选取【指引牌】。","借来的奇迹","借來的奇蹟","Borrowed Miracle","獲得目前【指引牌】的複製，令【奇蹟時鐘】上限-1（最低6），重置【星石袋】與【奇蹟時鐘】，獲得等同新上限的【星輝】，然後重新選取【指引牌】。","Gain a copy of the current Guidance card, reduce the Miracle Clock cap by 1 (minimum 6), reset the Star Stone Pouch and Miracle Clock, gain Starlight equal to the new cap, then choose a new Guidance card.","借りた奇跡","現在の【導き札】のコピーを1枚得る。【奇跡時計】上限を1減らし（最低6）、【星石袋】と【奇跡時計】をリセットし、新しい上限と同量の【星輝】を得て、その後新しい【導き札】を選ぶ。","TRUE"
"衍生牌","","由效果在战斗中生成，不属于初始牌组。","衍生牌","衍生牌","Generated","由效果在戰鬥中生成，不屬於初始牌組。","Generated by an effect during combat and not part of the starting deck.","生成カード","効果によって戦闘中に生成され、初期デッキには含まれない。","TRUE"
"指引牌","","当前由晨星奇迹复制并赋予临时费用的牌。","指引牌","指引牌","Guidance Card","目前由晨星奇蹟複製並賦予臨時費用的牌。","The card currently copied by the Morning Star miracle and given a temporary cost.","導き札","晨星の奇跡によってコピーされ、一時的なコストを与えられたカード。","TRUE"
"白曜","","带有此词条的卡牌打出后，若你没有{SunExp_sunexp_solar_crown}，则获得等同本次费用的{SunExp_sunexp_solar_radiance}；否则触发一次{SunExp_sunexp_solar_crown}。","白曜","白曜","White Radiance","帶有此詞條的卡牌打出後，若你沒有{SunExp_sunexp_solar_crown}，則獲得等同本次費用的{SunExp_sunexp_solar_radiance}；否則觸發一次{SunExp_sunexp_solar_crown}。","After a card with this tag is played, if you do not have {SunExp_sunexp_solar_crown}, gain {SunExp_sunexp_solar_radiance} equal to this play's cost; otherwise trigger {SunExp_sunexp_solar_crown} once.","白曜","このタグを持つカードを使用した後、{SunExp_sunexp_solar_crown}がないなら今回のコスト分の{SunExp_sunexp_solar_radiance}を得る。そうでなければ{SunExp_sunexp_solar_crown}を1回発動する。","TRUE"
"日耀系数","","等于自身{SunExp_sunexp_solar_radiance}层数*2+{SunExp_sunexp_gathered_flame}层数/3+{buff_burn}层数/2。","日耀系数","日耀係數","Solar Coefficient","等於自身{SunExp_sunexp_solar_radiance}層數*2+{SunExp_sunexp_gathered_flame}層數/3+{buff_burn}層數/2。","Equals your {SunExp_sunexp_solar_radiance} stacks *2 + {SunExp_sunexp_gathered_flame} stacks /3 + {buff_burn} stacks /2.","日耀係数","自身の{SunExp_sunexp_solar_radiance}スタック*2+{SunExp_sunexp_gathered_flame}スタック/3+{buff_burn}スタック/2に等しい。","TRUE"
"镜阵","","三千环日镜会维持战场上的{buff_burn}。若无人带有{buff_burn}，全体目标获得少量{buff_burn}；若已有目标带有{buff_burn}，首领按燃烧目标数获得护盾。","镜阵","鏡陣","Mirror Array","三千環日鏡會維持戰場上的{buff_burn}。若無人帶有{buff_burn}，全體目標獲得少量{buff_burn}；若已有目標帶有{buff_burn}，首領按燃燒目標數獲得護盾。","The three thousand orbit mirrors maintain {buff_burn} on the field. If no target has {buff_burn}, all targets gain a little {buff_burn}; otherwise the boss gains Shield for each burning target.","鏡陣","三千の環日鏡は戦場の{buff_burn}を維持する。誰も{buff_burn}を持たないなら全対象に少量の{buff_burn}を付与し、すでに燃えている対象がいるならボスはその数に応じてシールドを得る。","TRUE"
"折射","","带有{buff_burn}的目标受到折射时，会立即结算一次{buff_burn}。","折射","折射","Refraction","帶有{buff_burn}的目標受到折射時，會立即結算一次{buff_burn}。","When a target with {buff_burn} is hit by Refraction, resolve {buff_burn} once immediately.","屈折","{buff_burn}を持つ対象が屈折を受けると、{buff_burn}を即座に1回解決する。","TRUE"
"终日","","第二日轮会把过量{buff_burn}写入终局名册。全队{buff_burn}总层数过高时，触发焚书。","终日","終日","Last Day","第二日輪會把過量{buff_burn}寫入終局名冊。全隊{buff_burn}總層數過高時，觸發焚書。","The Second Sun writes excess {buff_burn} into the finale ledger. When the party has too much total {buff_burn}, Book Burning triggers.","終日","第二日輪は過剰な{buff_burn}を終幕の名簿へ記す。味方全体の{buff_burn}合計が高すぎると、焚書が発動する。","TRUE"
"焚书","","将1个保存名字转为焚毁名字；若没有保存名字，则改为全体目标获得{SunExp_sunexp_body_burn}。","焚书","焚書","Book Burning","將1個保存名字轉為焚毀名字；若沒有保存名字，則改為全體目標獲得{SunExp_sunexp_body_burn}。","Turn 1 preserved name into a burned name. If no preserved name remains, all targets gain {SunExp_sunexp_body_burn}.","焚書","保存された名を1つ焼失名へ変える。保存された名がないなら、全対象が{SunExp_sunexp_body_burn}を得る。","TRUE"
"圣祷","","白曜圣女会在没有痛苦痕迹时进行圣祷。圣祷会通过时光铭刻将保存名字转为无名之人。","圣祷","聖禱","Saint Prayer","白曜聖女會在沒有痛苦痕跡時進行聖禱。聖禱會透過時光銘刻將保存名字轉為無名之人。","The White Radiance Saint prays when no trace of pain remains. Saint Prayer uses Time Engraving to turn preserved names into Nameless People.","聖祷","白曜聖女は痛みの痕跡がない時に聖祷を行う。聖祷は時の銘刻により保存された名を無名の人へ変える。","TRUE"
"时光铭刻","","将1个保存名字转为无名之人。它不同于焚书：名字没有被烧毁，而是被归档并从具体的人身上剥离。","时光铭刻","時光銘刻","Time Engraving","將1個保存名字轉為無名之人。它不同於焚書：名字沒有被燒毀，而是被歸檔並從具體的人身上剝離。","Turn 1 preserved name into a Nameless Person. Unlike Book Burning, the name is not burned; it is archived and separated from the person who bore it.","時の銘刻","保存された名を1つ無名の人へ変える。焚書とは異なり、名は焼かれず、記録され、具体的な人から切り離される。","TRUE"
"无名之人","","被圣庭铭刻后的名字。它仍然存在，却不再作为被保存的人参与终幕统计。","无名之人","無名之人","Nameless Person","被聖庭銘刻後的名字。它仍然存在，卻不再作為被保存的人參與終幕統計。","A name engraved by the Court. It still exists but no longer counts as a preserved person in the finale tally.","無名の人","聖庭に銘刻された名。まだ存在しているが、終幕集計では保存された人として数えられない。","TRUE"
